Asset,OS,IP,MAC,TPM,IsLaptop,Domain
FCfa72908b,Windows Server 2016,118.181.8.25,098505c9-141f-4de8-b869-5da2cd3b4e90,1,1,Workgroup
FC9884e83f,Windows 7,35.40.42.203,0ac9b109-23ec-4e73-918e-7b08bf81dd5c,1.3,1,Workgroup
FC37208c3f,Windows Server 2016,46.16.192.214,0b3baa86-d134-4b6a-b299-2d9585fbf90e,1,0,Fomacose
FCb213fa59,Windows 10,148.5.56.124,0d479ef7-d23b-4d5f-b77b-45624d098be8,1,0,Yolocosa
FCf25ec1ab,Windows 7,226.124.190.246,0de7285a-5174-42dd-91f4-6ecf72e157e1,1.3,0,Contaso
FC5ca1d87d,Windows 7,137.112.69.196,0eb35a80-bd62-4ce8-9c06-be82bb9542fb,1.3,0,Workgroup
FCbe7a3356,Windows 10,102.13.195.60,10a44832-7572-43e2-a1b8-a67ab8fae665,1,1,Workgroup
FCbe89a850,Windows Server 2003,240.247.179.47,10c8dba9-ad89-4cc9-9ca1-79e8cb6b2592,1.3,0,Workgroup
FCc9d5dcdd,Windows 10,83.113.149.114,118de98f-f5c9-4570-8a7e-c1a0ac1139fd,1,1,Workgroup
FC3c23ad0b,Windows 10,150.2.115.187,11a52dae-b659-4bc8-aab7-fab956316ec7,1,1,Contaso
FCef5a6d2f,Windows Server 2003,63.81.49.143,11ee8a22-58b9-472b-bdb7-97d5bc45369e,1,0,Workgroup
FCe0cdfc2a,Windows 10,42.109.147.36,1232a712-c94d-4412-93c2-f17eb262cd1d,2,0,Yolocosa
FC7cc63639,Windows Server 2003,225.248.222.66,126914f1-15d1-49d9-99fb-81fac50b54a7,1.3,1,HomePC
FC4a7e4e7d,Windows 10,35.238.68.172,12aabfcb-f56a-448d-a100-64356f15cb8b,2.2,0,Montoso
FC53a9c347,Windows 10,180.54.175.204,12e4af96-72c3-49cc-bde1-c5a1b3b106bd,1,0,Workgroup
FCdefdd892,Windows Server 2003,152.198.49.77,13170597-5fd5-4fbc-8ddf-953d224f578c,1.3,1,Workgroup
FC656dc13b,Windows 10,197.151.138.215,1318db9f-e02e-40e7-94c0-e5f52d32b7f0,2,1,Workgroup
FCc1e9b994,Windows 7,22.165.195.158,136b725d-0c14-44a7-9640-b0c6ebb3793f,1.3,0,Workgroup
FC97b851b3,Windows Server 2016,220.209.242.59,13f0aebf-3a8a-437d-9625-a2bfbed13ad2,2.2,0,Workgroup
FC7725443f,Windows 10,2.239.217.185,148b1e51-0b69-4cad-bf3f-9fc825f63cda,1,1,Workgroup
FC1b639fde,Windows Server 2012,202.64.165.223,14f4297d-571f-4177-9217-141d7aff5cdb,1.3,1,Montoso
FC466bb193,Windows Server 2016,124.228.104.31,15224f69-8b41-436a-8998-24ab69af8ab7,1.3,1,HomePC
FCf448fa93,Windows 7,38.88.159.252,159c033d-b303-4535-bf8c-fbee5a5724ef,1.3,0,Workgroup
FC2e357559,Windows Server 2003,218.51.132.237,1620250f-133e-4637-99d0-5d49410acd35,1,0,Fomacose
FC3576b02f,Windows 7,56.220.75.210,16aced46-2048-4e19-8194-83f1cce5c0e9,1.3,0,Workgroup
FCbdbf7db4,Windows 7,118.60.209.243,16e9516b-ab50-4264-9dec-5fb3a7260ade,1.2,1,Workgroup
FCc5635217,Windows 7,48.56.123.209,177ecbd3-ed41-465b-bde5-9036808f0746,1.3,0,Fomacose
FC10e3837b,Windows Server 2016,115.72.230.27,18255cb3-e834-4973-a70a-dba7ec243e2b,1,1,Workgroup
FC4671a3f2,Windows 7,143.158.141.133,184c4edd-2b5a-4860-b055-f0ad9642c662,1.3,1,Dev-Contiso
FCe4b6292c,Windows 10,144.106.70.91,18637bb5-08a4-4172-92b8-30dc09128a1b,1,0,Workgroup
FCa914a603,Windows Server 2016,179.106.49.234,19962456-db21-458b-aa9e-83c70b3906d3,2.2,0,Workgroup
FCad34216a,Windows Server 2012,46.2.49.152,19b7af02-cfa9-4f6f-916a-f61a55688e6c,1.3,0,Workgroup
FC8ae4181b,Windows Server 2012,25.40.242.242,19fd8182-e8ce-48f1-9743-2930b3a94b6b,1.3,1,Workgroup
FC77fa8f3a,Windows 10,253.127.105.197,1ab9b673-c4fd-490c-9948-798d1b6de3b5,1,1,Workgroup
FCb015f9b6,Windows 10,131.189.132.147,1b637009-65a5-473d-9637-010a833f9c16,2.2,0,Montoso
FCd741315f,Windows 10,145.82.16.236,1bed7b4b-1c25-4323-b0e1-27263a418f5f,1,0,Workgroup
FC5d976dce,Windows Server 2016,113.249.194.57,1c195c52-200f-4825-acff-afc28481ba71,2.2,1,Workgroup
FC72c2b683,Windows 7,228.127.152.250,1c62f360-2dec-443e-bcc5-e4497205d00b,1,1,Fomacose
FC54a67cfc,Windows Server 2016,90.220.58.214,1cfb5510-d112-49d4-bef4-d6fd893fe460,2,0,Contaso
FC3a4982ed,Windows 10,53.58.142.41,1d22f66d-fbd3-4d9c-b966-a94ec659284c,2.2,1,Fomacose
FCde5e518e,Windows Server 2003,123.2.178.229,1d9ceb82-3afb-4144-b544-0eee3634e079,1.3,1,Workgroup
FC9fcfc63f,Windows Server 2016,111.113.245.194,1df0c810-24d7-4bdb-8229-422c0440a433,2,1,Montoso
FC5816d92a,Windows XP,159.147.213.141,1e8b4d24-8c5e-4190-9aff-a1edcecc53e5,1,0,Contaso
FC8368930c,Windows 7,98.6.116.173,1ec8285c-4a47-4bdc-8f25-1dfd6c3ef2b1,1.3,1,Contaso
FC141cb316,Windows Server 2016,172.152.191.242,1ef25c59-3419-4b28-b146-ecf8d0c52b02,2.2,1,Fomacose
FC890e62c0,Windows Server 2016,239.127.113.45,1f190661-7678-4e8b-b32a-e6df62d0e31b,1.2,0,Workgroup
FC54d901de,Windows 10,243.222.179.176,1f768252-dcad-48ee-80a0-eb7fc2987ff1,2,1,Workgroup
FCe1036c6f,Windows Server 2012,163.30.47.31,1fb416a2-e496-44d4-961c-f0761ff8c8c1,1.3,0,Workgroup
FCe73bbd22,Windows 7,51.120.67.136,1fba50d8-10b2-4d70-841f-6ae5e2f7c952,1.3,1,Workgroup
FC8a7ecb0e,Windows Server 2012,55.106.7.26,20b2366c-1f0a-4534-bc99-9348a9d8918e,1.3,1,Fomacose
FC607c5d67,Windows Server 2012,84.127.54.132,20ddfcf8-06e4-4202-94be-45a38981e1b8,1.3,0,Workgroup
FCb1fdf265,Windows Server 2016,70.149.38.232,214b92e1-da87-4fd0-a74c-42a5585f7b3d,1,0,Workgroup
FCa970167c,Windows Server 2012,43.50.198.223,217cf6c7-3ff0-4de0-8458-9a3b1ee130aa,2,1,Workgroup
FC0afafae6,Windows Server 2012,183.121.13.82,21a31cd5-4192-4456-b565-ded9fbbf2269,1.2,0,Fomacose
FC35819640,Windows Server 2012,178.6.83.30,22fb5197-515f-4e71-82ab-3b891231454e,1.2,1,Fomacose
FCa9e2b20b,Windows 10,154.114.88.145,23cd46ba-a89a-498b-85ab-029e23c1b372,1,1,Workgroup
FCda806778,Windows Server 2016,16.73.86.116,2426434f-245a-4c17-84d6-d5f3f94de85d,2.2,0,Dev-Contiso
FC8c505a28,Windows 7,66.13.218.173,246d183b-f22c-4c13-9498-2aae3247359d,2,0,Workgroup
FC09ecc625,Windows Server 2016,65.238.116.34,2518f7f2-29e9-450c-bca9-3f282930f367,1,1,Workgroup
FC718f3566,Windows 10,109.196.125.191,25403cf4-fbed-4ba3-91e3-e1c2585c8bfe,1,0,Fomacose
FC2cc18c64,Windows Server 2003,144.32.95.190,256dfd73-0e6d-4ed6-a067-b48fc19211ca,1.3,0,Workgroup
FCf4c8543b,Windows 10,30.176.113.118,258bd2d8-65d4-4e94-8213-6e2a85f9e2e6,1.3,1,Oldcompany.com
FC1cf9bc1a,Windows 10,233.234.166.45,259e7be9-fd48-4224-8dbb-bd25e22efe04,2.2,1,Workgroup
FCfb5ec671,Windows Server 2016,63.189.120.217,25faf704-8179-47d0-b6f8-7894fe37c10c,2,1,Workgroup
FCe940a18e,Windows Server 2016,14.88.44.172,271024b4-12e0-4d28-b7b5-e3d07fd277fe,2,0,Dev-Contiso
FC8193b588,Windows Server 2016,171.33.174.97,2711284c-8b53-4405-a737-534c23783c11,1,0,Contaso
FC6e7e2f38,Windows Server 2016,147.63.155.197,278af41d-4c81-42af-9ad8-dcab17a51833,1,0,Workgroup
FCa1cfc7e0,Windows XP,187.85.159.175,2840de6d-477d-498c-b87a-823f05536afd,1.3,0,Fomacose
FC7e222ab8,Windows 10,71.116.177.184,2a61fad9-2397-4a99-a4c9-a0eb8955a955,2,0,Workgroup
FCecbf7a2a,Windows Server 2012,70.110.76.51,2aeaa8a2-1d33-44bb-9b49-ef4b72576e06,1.3,1,Fomacose
FC1c664912,Windows Server 2012,102.182.191.75,2bd9089c-3d67-4f97-9aac-4e4a3241df54,1.3,1,Workgroup
FCac8ec115,Windows XP,207.53.238.135,2bda04bf-09ef-48e4-899c-5fb772568f03,1,1,Workgroup
FC8fac071f,Windows XP,190.230.138.102,2c121ed1-923b-42af-8809-0479dee06daa,1.3,0,Fomacose
FC048104ba,Windows Server 2012,150.20.147.43,2c770828-8c8a-457e-af11-8a6b22efe268,1.3,0,Montoso
FC53ac3787,Windows 10,203.104.145.175,2d0672a1-7831-403e-b7ab-d4a187224807,1,0,Workgroup
FCce0833f0,Windows Server 2012,39.23.216.158,2d8cb43a-395a-4655-85a5-266bbb8143ab,1.2,1,Oldcompany.com
FC0a161f58,Windows Server 2016,130.1.222.16,2f688b6c-3169-41f0-b5f7-fdf944529cf8,2.2,0,Fomacose
FC34e0e027,Windows 10,23.10.163.81,3025a7bd-fe8e-4300-9be8-18d427965b0a,1,0,Workgroup
FC6db0ffaf,Windows Server 2012,93.231.168.175,302eb757-564f-4e6e-b441-15f35f8114a5,2,0,Workgroup
FCe3428536,Windows Server 2016,118.222.167.42,307dd9f2-66e6-484f-ba73-77f1093f801b,1.2,0,Workgroup
FC80d9c4c0,Windows Server 2016,95.36.243.171,308b0d1e-e31c-4220-ada4-db660c1e687f,1,1,Workgroup
FC9869c314,Windows Server 2016,149.0.65.147,314804d5-6a65-42ff-9c94-c530c18c160f,2,1,Workgroup
FCa844afdc,Windows 10,5.29.9.150,317d6ce7-5499-4d8c-9ac4-c353f4643ba5,1,1,Montoso
FC2207fcb3,Windows 7,107.97.255.91,31984b7c-ef64-4c9d-b37b-4f7af69feb37,1.3,1,Workgroup
FCacc34a0b,Windows 7,127.136.157.74,31a6f00d-3ccb-4a0c-aeaf-5cc550c2cc40,1.3,1,Workgroup
FCad5ca46f,Windows 7,50.229.93.90,31fcf44c-6933-4ff5-a95d-ef094ed7e59c,1.3,1,Fomacose
FCd41f2edf,Windows Server 2016,63.167.70.46,32370c77-ce8d-4d47-bd31-357c3f0b7977,1,0,Montoso
FC4f30f733,Windows 10,5.184.7.62,331fe471-2d8f-47e5-bc86-0bb749249861,1,0,Workgroup
FCae3733e4,Windows Server 2016,78.14.104.190,334a76b5-ae56-4f91-94bb-e522faff0616,2,1,Workgroup
FCf4dbe482,Windows Server 2012,169.202.142.19,34c91ed4-e184-4e81-a608-a19f93f3625a,1.3,1,Contaso
FC0cc63ee2,Windows Server 2012,208.207.218.66,35cbeba9-f58d-4f58-8b52-24afbf88b9e5,1.3,1,Oldcompany.com
FC8c964ed8,Windows Server 2012,49.136.226.195,35e34dc2-8680-4b7b-a5ad-6e3dbab52218,1.3,1,Contaso
FC6ccb9dee,Windows XP,26.168.110.236,36121bf1-b02b-4899-843c-b9160997a576,1,0,Workgroup
FC50017aaa,Windows 7,5.50.34.246,36fd17c7-cb31-4b50-bef2-354bdbc7c5a9,2,0,Contaso
FC46a9e1f6,Windows Server 2012,201.125.142.192,37a5a9e4-029b-4319-9cef-d8c555b09ad3,2,1,Workgroup
FC97bf72ff,Windows Server 2003,110.108.151.150,37b19b87-9708-47f1-af4d-418830948e21,1.3,0,Workgroup
FC5783d6ce,Windows 10,3.209.147.165,37e48818-74de-4562-9b26-120e005c247e,1,0,Workgroup
FCee6924d8,Windows 7,65.244.42.200,37f1c912-1880-44d3-ae48-5944d270c4b7,2,0,Fomacose
FC92da4435,Windows 7,111.36.215.68,3a5cc9eb-9dcd-4feb-a01f-fde2c9edd63c,1.3,0,Workgroup
FC5fbd06fc,Windows Server 2016,51.191.191.62,3aa3fbbd-74ec-47f0-9e4e-dd0891345e74,2.2,1,Workgroup
FC4875d443,Windows Server 2016,106.72.78.49,3aeaca4a-2d8b-4be8-9eab-f990631c46b0,2.2,1,Fomacose
FCe2686c7e,Windows Server 2016,101.108.73.141,3c516785-29cd-4adf-91da-505ef4a69852,2.2,1,Workgroup
FC3e7f405b,Windows 7,143.117.69.143,3c7bc23b-c3e2-48bc-87e1-9514cfaaba27,1.2,0,Montoso
FC9db3bb18,Windows Server 2003,85.206.49.187,3d336175-1daa-4535-8c93-6b02c46f0ea4,1,0,Contaso
FCdbb02a87,Windows 7,229.59.114.24,3d537766-a918-439d-bf81-8bb8272d3053,1.3,1,Yolocosa
FCadea6520,Windows Server 2003,36.229.142.63,3dfc305a-efbf-4958-8d8a-ebf0aa1db1a9,1,1,Workgroup
FCb4b0b269,Windows Server 2012,151.65.145.178,3e07a852-442f-4f87-83ea-de5d8bc78c1b,1.3,1,Workgroup
FC70df497e,Windows 10,40.6.58.5,3e211971-3ea0-44ab-9bd6-8d891a8e7049,2.2,1,Fomacose
FCd793fcd2,Windows Server 2016,210.213.134.231,3e22c1e4-191c-4483-8ece-b5fc67d8f90b,1.2,1,Contaso
FC9f6a27ba,Windows 10,176.10.179.11,3ea34ddf-ce9b-41a4-abdd-fb87a529a0d3,1,1,Dev-Contiso
FC7c0480ac,Windows 10,250.13.220.41,3f4e156d-8a4d-4855-a020-e0cfb3d440be,1,1,Workgroup
FCf9f442f6,Windows 10,185.220.58.212,3fa69fa2-d300-45ac-8bbe-16c14518e58e,2.2,1,Workgroup
FCb308dd92,Windows 10,34.166.235.111,4055f4c7-7a17-43e0-872e-49fead06507d,1,0,Workgroup
FC0e2fbdca,Windows Server 2016,174.150.203.96,41cf391c-9576-4cf0-a44b-87b34b85e700,2.2,0,Workgroup
FC28c04ffd,Windows 7,27.104.158.67,41f7db9a-5925-42d2-be97-fa1a6c0e5d40,1,1,Yolocosa
FC687ac24c,Windows XP,44.106.156.8,42be88a7-ce69-4698-a42e-c0cee037c429,1,0,Contaso
FC0a3a25bd,Windows Server 2016,143.121.45.254,42d63470-06b7-4dbe-bd2d-197a5987b6a9,1,1,Montoso
FCeea1891d,Windows XP,44.39.117.96,430d0f7f-3c2b-453d-b427-aebfe9729346,1,1,Workgroup
FCf5375a50,Windows 10,241.104.69.33,436d98ce-f114-40e4-82a7-7195484fe925,2.2,0,Workgroup
FC207d27e4,Windows Server 2016,122.238.218.183,43c834c6-0142-4288-bbb1-4e542eb80748,1.2,1,Workgroup
FCd7e898b7,Windows Server 2012,156.240.157.73,4445e639-ac9a-46d8-b546-7c6015f52689,1.3,0,Workgroup
FC9d41bfa9,Windows Server 2012,215.35.15.121,4507667c-acea-43a4-89ed-3b08884a549c,1.3,1,Workgroup
FCcf048cda,Windows 7,31.51.6.128,451917ba-6327-4c55-8faf-f5763688370f,1,1,Fomacose
FC11384887,Windows 10,100.148.62.113,45bf0494-dde2-49ca-b437-76fd0aad6649,2,1,Workgroup
FC4260cc90,Windows Server 2016,204.150.168.112,461de4f6-b868-4cea-a86a-ce1184c4aa26,2,0,Contaso
FC6ba6396e,Windows 10,50.170.174.246,46a86e6c-7ac6-4b70-a6cb-49b50aff66fd,1,0,Oldcompany.com
FC8c4ba9e7,Windows Server 2012,244.93.83.139,47063029-4fef-42cf-b8a1-e0754f1b57c4,1.3,0,Fomacose
FC28a8c3c1,Windows Server 2016,211.3.97.144,470b582a-1f42-461c-a505-fa8df3d65841,2.2,0,Oldcompany.com
FC12d1391b,Windows Server 2012,132.233.206.107,47a49d7a-51fc-4488-8475-e2de1615b3c7,2,0,Montoso
FCc5c782cb,Windows Server 2012,2.195.87.149,4889852a-aba7-46fd-b526-262c6f072622,2,1,Workgroup
FC3a1270cd,Windows 7,35.120.251.168,48b681ac-3753-410d-a666-de6605bcd3bc,1.2,1,Yolocosa
FC5733fd3a,Windows 10,141.241.150.143,499c24b3-d521-4257-9d9b-d8b23a65b88a,1,0,Dev-Contiso
FCfd6c170b,Windows 10,106.212.192.75,4a1a53ee-b302-4f8f-acff-9d521fffb018,1,1,Montoso
FCe50dc1fb,Windows Server 2016,178.156.9.178,4a208fd2-aa19-4c40-a08d-47c3ac627901,1,0,HomePC
FC66af3a9c,Windows 7,61.114.132.176,4a2dc1ac-aaf7-4eb5-84eb-a1022aa8a8cf,1,0,Oldcompany.com
FCbade0de3,Windows 10,153.185.147.60,4a7b48b5-6924-4705-8c61-9721c934da77,2,0,Contaso
FC6eb091a2,Windows Server 2012,113.33.93.174,4aec6c04-1995-4290-951c-92c75aaffb8b,1.3,0,Montoso
FC1875c2e3,Windows 7,186.107.95.116,4b25a260-9f6a-4137-96ed-eacd7869712b,2,0,Oldcompany.com
FCa6e3873a,Windows Server 2016,93.255.90.151,4c074725-5039-4cc5-97af-4699ab317503,1,1,Fomacose
FC4a3693e3,Windows 7,20.239.151.93,4c621944-cbd9-4ddf-8e85-b4e59f26023f,1.3,0,Workgroup
FC8dc0880d,Windows Server 2016,219.152.60.155,4eb243a0-1899-439f-b372-18e21fd71390,2.2,1,Montoso
FC0c13b331,Windows 10,11.175.191.234,4eeacab1-ee2e-4844-919d-c8ad90784743,2,0,Workgroup
FCb1ace8e8,Windows 10,5.15.18.26,4ef67043-3fd9-42b5-8b87-5c8773494fbf,2,0,Fomacose
FC142adc48,Windows 10,62.213.186.138,4f713382-e989-42ff-8f6d-672d7c3133cc,2.2,1,Workgroup
FC62aa3607,Windows 10,16.252.241.109,4feb65b0-99bf-45d6-bb29-cfe35ad6116c,1,0,Fomacose
FC91e56e02,Windows Server 2016,118.93.254.78,5049aded-3da4-4966-9b28-41f191b52703,2,0,Workgroup
FC806b1ef5,Windows Server 2016,232.10.85.103,506f8955-523c-4fad-b88a-1574e812c572,1,0,Workgroup
FCc19eb0e3,Windows 10,141.157.138.247,509f227e-5b9c-4c5d-97e5-3a27adcff7b6,2.2,0,Dev-Contiso
FCf770e76c,Windows 7,97.226.94.210,5109899b-21b5-49b1-bd37-e07a0ac99649,2,1,Dev-Contiso
FC1404a627,Windows 7,251.146.127.132,5192a9f2-821c-47c0-ab60-4c0d9fa17ae7,1.3,0,Fomacose
FC0ce15e34,Windows Server 2003,114.189.177.52,51c30086-115b-4574-ad6c-37f4d15c7ac8,1,1,Workgroup
FC1dc4bdf5,Windows 7,115.154.250.73,524a2ca3-9db2-43b1-b547-51ed990c2961,1.3,0,Workgroup
FC03ffb929,Windows Server 2016,192.22.122.7,5371ad94-7b12-4b5a-80cb-394723976787,2.2,0,Contaso
FC762a6945,Windows Server 2003,44.175.85.237,53947bbe-9ac8-4953-9221-6cd8871cdb12,2,0,Montoso
FCbbb75a2f,Windows Server 2003,207.99.229.157,540c8180-55f7-4120-94a2-1da6cf76b305,1.3,0,Workgroup
FC1080cc67,Windows 7,125.187.203.211,548a36e2-f3ec-4e21-8465-b28d64fb553b,1.3,1,Dev-Contiso
FC1aae3301,Windows 10,46.59.47.147,54e8bdca-1e82-4b43-86d0-ecdf98568ee4,1.3,1,Montoso
FC46d831f2,Windows Server 2003,128.70.145.30,5514960b-8948-43d8-a32b-93ac22f7fbd4,1,0,Workgroup
FCb2c71b67,Windows 7,131.78.243.229,5547eefd-77f1-4da8-a855-a171ef7afbe8,1.3,0,Workgroup
FC5b68fce4,Windows 10,253.210.27.142,56a39100-a585-4609-973b-5f42db69ae16,1,0,Montoso
FC824f1174,Windows 10,227.237.16.251,571f6fca-16cb-4bbd-94ce-f0192529f8ef,1,0,Workgroup
FCd6f1a8e7,Windows 7,149.82.33.2,572f4ec4-ea9a-476a-9b3e-007e7df42a7b,2,1,Workgroup
FC76cd64e4,Windows 10,57.161.97.112,5872c5c1-84dd-48a3-994e-c95041b1cd7d,1,1,Montoso
FC14c80f26,Windows Server 2016,192.153.250.215,58d765f6-8546-41b3-9a1d-86fc425bc010,2.2,1,Workgroup
FCe1813f37,Windows Server 2012,221.130.10.136,59000a33-0cf1-4985-9ca6-9215e228af19,1.3,0,Montoso
FC031c1038,Windows Server 2016,139.193.227.121,591e1500-0bd4-492c-a01c-ed66e24e9869,1,1,Fomacose
FCed749083,Windows Server 2016,69.133.51.189,59a4f585-870c-4f8d-a700-9f36ed6fa01f,1,0,Workgroup
FC99e84eb8,Windows Server 2003,10.88.251.178,5a5d9ae8-360d-456d-a484-cb0895f1f8e8,1,0,Workgroup
FC0733d786,Windows Server 2012,178.106.184.48,5adff8bb-3718-4690-b418-cd552e696121,2,1,Montoso
FCc4594f68,Windows 10,216.192.193.185,5ae93070-9bc0-4404-85c8-30907ac829a2,1,1,Workgroup
FCfe35fed2,Windows Server 2003,150.206.8.146,5b610370-b44f-4166-8aa2-1664ad6fc71b,1.3,0,Workgroup
FC0d162f36,Windows Server 2016,42.214.185.251,5bcf13c7-5b2d-4c92-b8d5-0311093e4e37,1,0,Dev-Contiso
FCd8659fdf,Windows Server 2016,106.74.182.214,5c01fc4a-429d-4cf7-82d8-dfad81b0acc6,2.2,0,Contaso
FC2819ab91,Windows 10,184.220.170.62,5c8dca20-b825-4ecc-bb2f-ef5ee51822ab,2.2,0,Yolocosa
FCcf5e9f3a,Windows 10,71.213.251.215,5cbf2936-d669-4492-ac6d-390d19adae69,2.2,1,Workgroup
FC66888480,Windows Server 2003,80.118.227.87,5d6224d4-4a77-40e4-a40e-427bb6d5daaa,1.3,0,Contaso
FC5340ba25,Windows XP,112.125.197.250,5d7eaceb-8456-486f-b098-ff2240e62157,1,1,Workgroup
FC67828fb1,Windows 10,222.37.63.68,5dcac008-7b36-45b6-bcec-211203145d28,1.3,0,Oldcompany.com
FC82fb9dfc,Windows 7,95.86.235.203,5dcc5a88-339a-4a25-8492-1d14cb436ed1,1.3,1,Contaso
FC96019b2a,Windows Server 2016,194.185.148.29,5fe2d568-eb8d-4e65-b3fb-d3f4b2d15421,1,1,Fomacose
FC339faec4,Windows Server 2016,205.123.78.59,607a2a92-0ba3-4878-b8fa-1a20e714c343,2.2,0,Workgroup
FC0752cc22,Windows Server 2003,193.248.67.74,60864bb3-5cb9-4dc2-8c88-cef142e25837,1.3,1,Montoso
FCa6ecd7c8,Windows 10,229.179.234.168,610085c1-dbfa-4c4f-9e9e-950d8d145db4,1,1,Contaso
FC8bf4bde0,Windows Server 2016,200.116.228.208,613299ea-73e3-4790-8819-9c5916ae25a5,2.2,0,Workgroup
FCc8c6703b,Windows Server 2003,138.70.152.29,622a5512-ae6e-4638-bb0c-cb33e6736a4f,1,1,Workgroup
FCe51ad05b,Windows Server 2003,187.106.242.114,6233cb07-bf20-467e-a37b-63bb656f7f04,1,0,Workgroup
FC6d6a559f,Windows Server 2012,104.118.170.140,624a4229-42fe-4b09-9e21-7da466ad758a,1.3,0,Workgroup
FC4ef70b0e,Windows Server 2016,74.27.194.250,63040c58-1f9c-4e12-ba53-34c3f9237a21,1,0,Montoso
FC133b4538,Windows Server 2016,254.142.145.125,63bb0646-eb51-44c8-96f0-83dea0330448,1.2,0,Workgroup
FC1c15ea03,Windows Server 2012,172.100.73.104,641debe2-7e82-41f1-80cf-822941ca4266,1.3,0,Workgroup
FC5ca7b3a4,Windows Server 2016,200.117.97.45,64e505c5-0f13-4433-a553-ab1f8dab585a,1,1,Contaso
FCfb06f8ef,Windows XP,199.193.156.67,6559d14d-8a20-41de-899b-109740385a41,1.3,1,Montoso
FCedb1d8d3,Windows XP,13.38.12.32,656836f3-2701-42df-a64e-9811704c296a,1,1,Dev-Contiso
FCb81abf8b,Windows 10,40.101.101.172,65c7a66b-d1f8-4d9e-a8e8-bccf9bf3cc8a,2,0,Workgroup
FC2defe104,Windows 10,155.103.100.81,665bcf50-55a6-4b53-925d-3f9bbacc3f7f,1,1,Workgroup
FC8cf3e9a0,Windows Server 2003,82.78.213.198,6662ef38-9c95-4d50-a66d-ec0f00ae110c,2,1,Oldcompany.com
FC7e38820d,Windows Server 2016,182.190.135.200,67445f66-2967-40c3-8179-fab8be56a659,2.2,0,Workgroup
FCb8e86e78,Windows 10,163.166.95.41,677da06c-6ab9-40c7-b598-dc73dd6f4371,2,0,Dev-Contiso
FC90264080,Windows 10,128.82.155.70,67811a71-e108-44a1-a185-0e246b2fa0be,1,0,Workgroup
FC5e52eee2,Windows 7,99.13.6.121,6878e16b-adf8-471e-88e0-16d5802bc747,2,0,Workgroup
FC1a5c10b6,Windows Server 2016,88.152.157.58,690e3bbf-ab34-4d79-8f49-28807c18f53c,2.2,0,Workgroup
FC4411f5a5,Windows 7,3.249.19.165,69518b38-d392-4a01-bdbe-349e6b27b12a,1.2,1,Fomacose
FCf665a26c,Windows Server 2016,200.42.12.209,69f9f83c-3774-4570-9b7b-99530432095d,1,1,Montoso
FC8951a0db,Windows 7,70.30.171.94,69ffe5fe-6813-43a9-9aba-63110c4166fb,1.3,0,Montoso
FC76a42ddc,Windows 7,192.168.204.24,6a197052-3664-485a-8943-1a422ce8e3dc,1.3,1,Workgroup
FCcd61872c,Windows Server 2012,153.122.244.125,6a8593e5-c5d0-4fc3-9777-54fd917b7a51,1.3,1,Workgroup
FC84e5fdbf,Windows 7,82.49.78.82,6aedea7a-5fca-4c47-89fe-b4101b11c8e6,2,0,Workgroup
